
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr sdnu.edu.cn @shihun.sdnu.edu.cn.
;; global options: +cmd
www.gssd.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.zsb1.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.politics.sdnu.edu.cn. 86400	IN	A	210.44.14.16
zc.sdnu.edu.cn.		86400	IN	A	210.44.0.250
www.xxsy.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.cgpx.sdnu.edu.cn.	86400	IN	A	211.149.136.251
www.xy.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.xxgk.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.dangban.sdnu.edu.cn. 86400	IN	A	210.44.14.1
www.tangb.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.gkzp.sdnu.edu.cn.	86400	IN	A	210.44.2.251
www.enoip.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.wxy.sdnu.edu.cn.	86400	IN	A	210.44.8.29
ftp.sdnu.edu.cn.	86400	IN	CNAME	shihun.sdnu.edu.cn.
www.marx.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.wjy.sdnu.edu.cn.	86400	IN	A	210.44.4.81
www.oldjiwei.sdnu.edu.cn. 86400	IN	A	210.44.8.26
www.kjc.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.test.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.cpre.sdnu.edu.cn.	86400	IN	A	103.227.81.51
www.sdnuykt.sdnu.edu.cn. 86400	IN	A	210.44.8.36
victor.sdnu.edu.cn.	86400	IN	A	210.44.14.25
www.xiaoban.sdnu.edu.cn. 86400	IN	A	210.44.14.1
tsgl.sdnu.edu.cn.	86400	IN	A	210.44.1.6
www.bxq.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.xiaobao.sdnu.edu.cn. 86400	IN	A	210.44.8.29
sdnu.edu.cn.		86400	IN	SOA	shihun.sdnu.edu.cn. root.sdnu.edu.cn. 948474483 10800 3600 604800 86400
;; Query time: 110 msec
;; SERVER: 210.44.8.88#53(210.44.8.88)
;; WHEN: Mon Feb 16 23:21:50 2015
;; XFR size: 203 records (messages 203, bytes 9759)

