
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
isi.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
it.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
itsclass.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jcu.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
jdxy.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
jglabgl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jgsyzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jgxy.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
jing.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
job.bjut.edu.cn.	3600	IN	CNAME	jydc.bjut.edu.cn.
jpkc.bjut.edu.cn.	3600	IN	CNAME	etc.bjut.edu.cn.
jpzygx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jwc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jxcg.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jxgc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jxgctszy.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jxjy.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
jydc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
jzcg.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
jzcglxs.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
kexiang.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
kjc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
kjcxx.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
kjcy.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
ksy.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
lab.bjut.edu.cn.	3600	IN	CNAME	experimentcenter.bjut.edu.cn.
lbs.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
lib.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
idp.lib.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libaleph.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libcdicm.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libportal.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libproxy.bjut.edu.cn.	3600	IN	A	114.251.253.99
*.libproxy.bjut.edu.cn.	3600	IN	A	114.251.253.99
libthesis.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libwanfang.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libweipu.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
libzhongjingwang.bjut.edu.cn. 3600 IN	NS	linkproof.bjut.edu.cn.
life.bjut.edu.cn.	3600	IN	CNAME	www2nd.bjut.edu.cn.
linkproof.bjut.edu.cn.	3600	IN	A	211.71.95.250
linkproof.bjut.edu.cn.	3600	IN	A	114.251.253.250
localhost.bjut.edu.cn.	3600	IN	A	127.0.0.1
login.bjut.edu.cn.	3600	IN	A	172.21.0.5
lxsyzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mail.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mailhost.bjut.edu.cn.	3600	IN	CNAME	mail.bjut.edu.cn.
math.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
matlab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mba.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mconsole.bjut.edu.cn.	3600	IN	CNAME	mobile.bjut.edu.cn.
md-contest.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
me.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
mech.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
mehpc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mems.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
met.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
metc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mfile.bjut.edu.cn.	3600	IN	CNAME	mobile.bjut.edu.cn.
mglab.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
mip.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
mipl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mkszyxy.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
mobile.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mobileapp1.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mobileapp2.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mpccl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
msem.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
mvpn.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
my.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
nactrans.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
navcent.bjut.edu.cn.	3600	IN	A	202.112.78.81
navstu.bjut.edu.cn.	3600	IN	A	202.112.78.83
navstu2.bjut.edu.cn.	3600	IN	A	202.112.78.84
navtea.bjut.edu.cn.	3600	IN	A	202.112.78.82
nclsc14.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
nethd.bjut.edu.cn.	3600	IN	A	219.239.98.8
netlab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
